user_id,session_id,time,accx,accy,accz,gyrx,gyry,gyrz
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,108,146.48,-71.78,1012.21,-0.57,2.4,-2.73
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,109,144.53,-78.12,1007.32,7.16,-0.78,-0.02
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,110,123.54,-74.22,1011.23,9.3,0.85,0.06
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,111,141.6,-72.75,1003.91,7.29,0.44,2.72
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,112,145.51,-69.34,999.51,3.39,2.08,5.88
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,113,115.23,-28.81,1032.23,1.37,-0.89,8.11
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,114,142.09,-14.16,1019.53,1.38,-1.82,9.73
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,115,148.44,-21,1030.76,0.72,1.48,8.52
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,116,167.48,3.42,1013.67,3.56,1.35,5.06
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,117,167.97,17.58,1006.84,3.02,-0.95,1.44
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,118,130.37,-4.88,1020.02,2.54,2.36,-1.9
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,119,137.7,-5.86,1018.07,1.82,-1,-2.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,120,163.57,-26.37,1002.44,-3.64,-0.53,-2.63
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,121,158.2,-24.41,1015.62,-3.9,2.16,-4.71
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,122,133.3,-38.09,1030.76,-3.33,-2.35,-1.82
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,123,144.04,-36.62,1020.51,-2.88,0.69,-4.45
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,124,134.77,-58.11,1026.37,-0.6,1.15,-2.16
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,125,150.39,-71.78,1014.16,1.25,-2.3,0.3
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,126,142.58,-54.2,1019.53,3.89,-0.82,-2.4
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,127,155.27,-39.06,1030.27,5.62,-0.05,-2.5
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,128,151.86,-27.34,1028.32,2.85,-1.07,-0.47
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,129,135.25,-37.6,1031.74,-0.7,0.46,-0.14
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,130,145.02,-27.34,1046.88,-0.24,3.03,0.03
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,131,150.39,-27.83,1077.64,0.48,9.08,-1.73
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,132,166.5,-55.66,1047.36,-1.85,14.37,-2.18
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,133,176.76,-55.66,1042.97,0.97,16.26,-0.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,134,124.02,-24.41,1069.82,-2.05,20.79,5.13
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,135,160.16,-41.02,1075.2,-7.76,24.3,6.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,136,145.51,-71.78,1104,-6.57,34.77,11.68
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,137,80.08,-77.64,1091.8,1.37,42.21,13.56
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,138,54.2,-41.99,1100.59,-3.4,48.68,9.76
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,139,-8.79,-58.11,1080.57,-2.53,57.31,13.57
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,140,-1.46,-81.05,1097.17,8.31,60.64,13.16
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,141,-25.39,-24.41,1046.39,-7.56,76.87,48.92
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,142,-83.5,-54.2,1062.01,0.68,74.12,17.66
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,143,-162.6,-29.79,1040.04,-3.54,77.13,20.2
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,144,-153.81,-22.46,1022.46,0.11,82.08,20.19
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,145,-274.9,-30.27,1028.32,3.68,90.54,20.47
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,146,-263.67,-0.98,990.72,-5.95,91.54,19.6
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,147,-362.79,-3.42,970.7,-6.23,95.36,22.89
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,148,-401.37,-5.37,918.95,-0.89,92.61,15.4
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,149,-452.64,-6.35,897.46,-2.14,88.97,14.56
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,150,-493.16,-5.37,880.86,10.82,87.14,11.79
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,151,-527.34,36.13,812.99,5.5,87.96,9.4
