Time(s),Raw_Voltage,Smoothed_Envelope
3.833857059478759766e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.850347042083740234e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.871963024139404297e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.888668060302734375e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.910617113113403320e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.927258014678955078e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.948802232742309570e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.965474128723144531e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.987174034118652344e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.003797054290771484e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.026757955551147461e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.044164180755615234e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.066594123840332031e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.083918094635009766e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.106451034545898438e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.123922109603881836e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.146908998489379883e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.164328098297119141e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.186777114868164062e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.204112052917480469e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.226319074630737305e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.248775959014892578e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.279607057571411133e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300101995468139648e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.326178073883056641e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.345170021057128906e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.372379064559936523e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.392757177352905273e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.418607950210571289e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.437997102737426758e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.465167999267578125e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.485394001007080078e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.511985063552856445e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.529680013656616211e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.551748991012573242e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.569272041320800781e+00,0.000000000000000000e+00,0.000000000000000000e+00
