AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
-989.75,18.55,295.41,-0.59,1.47,1.28,50.7,-5.55,27.45,34.64
-938.48,-32.71,289.06,-7.37,0.64,1.63,50.4,-5.55,28.2,34.64
-935.55,-45.9,286.13,-9.44,-1.93,3.15,52.5,-5.85,27.9,34.31
-1011.23,-9.28,301.76,-7.44,0.69,-2.3,51.9,-5.4,27.75,34.4
-1028.32,-18.55,250.98,-11.93,-1.39,-3.99,51.45,-7.35,27.15,34.4
-954.59,-153.81,361.33,21.69,-12.21,0.43,52.65,-5.4,28.65,34.5
-957.03,-107.91,344.24,-3.8,-3.9,-1.44,51.45,-6.3,30.0,34.64
-973.14,30.27,346.19,-6.69,-5.18,0.04,52.2,-4.8,29.55,34.4
-945.31,-66.89,284.67,-16.71,-6.87,0.53,49.65,-7.05,28.2,34.4
-985.84,-93.75,279.79,-18.11,-4.51,5.88,50.7,-7.05,28.2,34.5
-968.75,-94.24,339.36,14.61,-4.98,2.69,50.4,-8.85,28.95,34.64
-969.24,-38.57,406.74,8.89,-4.95,0.13,51.9,-7.2,30.45,34.21
-926.76,-31.74,390.62,9.86,4.02,-0.37,50.55,-6.45,29.4,34.4
-970.21,-47.85,404.3,-10.6,5.08,3.44,50.4,-5.55,28.5,34.55
-933.59,-106.45,335.94,-6.89,2.18,-0.84,52.2,-6.3,28.5,34.36
-935.06,-41.5,294.92,1.86,-1.58,5.67,51.45,-7.05,28.5,34.74
-992.19,-11.23,342.77,-10.51,5.98,1.13,53.25,-6.3,29.25,34.5
-958.98,-95.21,349.61,1.44,0.64,8.0,50.55,-6.15,27.75,34.55
-945.31,-98.63,249.02,-3.53,7.35,3.34,50.4,-6.6,27.45,34.5
-958.5,21.97,324.71,11.47,7.68,5.4,51.3,-8.25,28.35,34.5
-990.72,-18.55,294.43,-4.66,8.31,3.03,51.3,-5.7,28.65,34.55
-969.24,-14.65,253.42,-6.24,-0.44,2.18,49.8,-5.4,29.4,34.5
-964.84,-61.04,307.62,2.31,3.53,1.4,50.4,-6.3,28.5,34.83
-1020.02,-14.65,342.77,-5.14,0.6,1.89,50.7,-7.8,27.9,34.5
-989.75,2.93,279.79,-6.39,-1.86,2.48,49.8,-4.95,28.35,34.4
-994.14,-65.43,368.16,2.33,2.38,2.5,50.55,-7.2,27.0,34.64
-979.98,-16.6,255.86,5.24,-2.89,2.05,51.3,-7.5,29.1,34.55
-957.52,-40.53,296.87,8.53,-9.27,1.04,51.3,-5.7,27.75,34.4
-947.27,-34.18,232.42,5.19,-9.47,1.92,51.45,-7.05,28.2,34.5
-960.45,-17.58,289.06,6.36,-7.72,6.34,50.55,-6.15,28.05,34.69
-959.47,-16.11,279.79,-0.34,-17.63,2.23,51.6,-6.15,29.4,34.64
-971.68,49.8,176.27,-5.63,-26.11,-4.27,51.0,-5.85,28.5,34.5
-918.46,50.78,244.63,-17.73,-34.15,-0.18,50.25,-6.15,28.65,34.64
-981.45,-3.91,222.17,-14.57,-42.11,-0.26,49.05,-6.15,31.5,34.69
