AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
117.68,41.5,1031.25,2.73,1.64,116.99,34.95,5.7,56.4,25.15
4.88,-21.0,1038.09,1.65,3.58,71.02,35.1,7.05,55.65,25.2
-3.91,34.18,1038.57,1.72,-1.03,51.27,33.0,7.05,53.55,25.06
-353.52,1151.37,1047.36,6.66,30.38,32.63,31.35,7.5,54.45,25.15
-118.65,176.27,1044.43,-1.04,9.93,25.08,31.2,8.4,53.1,25.39
-1.46,-4.88,1036.62,-0.03,-1.05,0.57,30.9,7.05,54.9,25.25
20.51,0.49,1045.9,1.37,-0.05,-0.31,32.25,9.15,56.25,25.15
5.37,-6.35,1030.76,-1.01,-1.44,-1.38,31.05,9.3,55.05,25.44
32.23,91.31,1041.02,-0.67,3.14,-22.83,31.95,11.4,56.7,25.15
23.93,45.41,1034.18,-4.72,-1.9,-96.18,32.85,8.25,55.8,24.91
32.71,50.78,1046.39,1.19,-6.44,-136.76,33.0,8.1,56.25,25.06
-134.77,77.64,1041.5,-2.85,-1.18,-177.25,34.05,7.35,58.35,25.15
60.06,260.74,1036.13,5.87,-2.81,-156.55,36.15,4.5,60.75,25.35
58.59,-62.01,1044.92,-2.14,1.93,-102.27,37.65,1.95,58.05,25.25
9.28,-4.88,1041.02,3.54,-5.9,-79.02,37.65,-0.45,59.7,25.15
-2.44,-22.46,1034.67,-6.11,-3.28,-133.18,37.95,-0.15,60.45,25.25
-20.51,11.23,1045.9,-1.49,-0.82,-108.14,39.15,-4.35,60.6,25.35
-426.27,715.82,1218.26,-17.79,-2.85,-140.09,39.0,-7.8,61.5,25.25
-210.94,73.73,1033.69,8.68,7.73,-144.28,37.8,-11.25,61.95,25.2
15.63,60.55,1059.08,1.01,0.7,-97.9,39.6,-16.65,60.3,25.01
-11.23,2.93,1041.99,4.08,1.19,-87.17,38.85,-16.95,60.6,24.82
-14.65,33.69,1035.16,-4.58,-2.18,-100.44,37.65,-20.4,59.7,24.91
-37.11,-28.32,1035.64,-0.92,-1.7,-98.01,38.7,-21.9,59.1,24.87
-11.72,-9.77,1025.88,-3.61,-0.57,-135.27,38.85,-25.35,61.05,25.35
92.29,312.01,1035.16,-17.19,-1.22,-250.14,36.0,-28.65,61.05,25.2
-86.91,-231.45,1046.88,-4.44,-4.66,-250.14,33.75,-32.85,60.45,25.2
28.32,3.42,1040.53,1.33,-3.74,-200.6,30.9,-37.95,61.8,25.15
671.87,-735.35,1039.55,-4.89,-8.26,-250.14,28.8,-40.05,61.8,25.39
103.52,-10.25,1043.46,8.2,-3.73,-74.17,24.75,-41.7,62.7,25.39
-21.0,73.24,1049.8,-6.2,0.78,-49.53,22.95,-46.5,62.4,25.2
-72.27,42.48,1048.83,2.07,-1.1,-119.63,21.15,-43.95,61.95,25.06
91.8,-68.85,1040.53,1.05,-1.24,-47.63,17.4,-45.15,60.75,25.06
62.5,-200.2,1048.83,0.07,-0.19,-36.02,16.95,-47.55,60.3,25.39
-8.3,-0.98,1049.8,2.68,5.02,-12.15,15.6,-45.9,60.45,25.06
1.95,-3.91,1036.13,0.47,-0.58,-5.85,16.95,-47.1,61.05,25.01
8.79,-8.79,1041.02,0.07,-0.27,-2.3,16.35,-46.95,61.2,25.39
4.39,-9.77,1037.11,0.66,-0.98,-0.31,14.25,-47.4,62.55,25.15
-4.39,-15.14,1033.69,1.07,3.0,-0.29,16.35,-48.0,60.45,25.2
-7.81,-1.46,1043.46,-0.17,2.02,-1.19,15.45,-46.8,61.65,25.15
-2.44,-3.42,1033.69,1.16,0.03,-0.27,16.35,-46.65,60.15,25.25
5.37,-2.44,1027.83,0.13,-0.32,-2.04,17.1,-46.2,60.75,25.15
-9.28,-11.72,1046.88,0.5,-0.46,-0.21,16.8,-46.2,61.8,25.15
4.39,-3.42,1035.64,-2.83,-2.85,-1.79,16.95,-45.75,61.35,25.15
-1.46,-5.86,1042.97,-0.42,-1.56,0.05,16.5,-48.3,61.35,25.01
-17.58,-18.07,1054.2,-0.47,2.4,2.09,16.5,-46.5,61.95,25.15
-0.98,-2.93,1041.99,-1.82,-0.4,-1.43,15.9,-46.05,60.0,25.25
7.32,-23.44,1041.99,-0.24,0.52,-0.71,16.35,-45.9,60.15,25.2
-10.74,-7.81,1037.6,1.08,-0.71,1.8,16.95,-46.5,60.0,25.15
1.46,-10.25,1038.09,-1.77,-0.11,1.03,18.15,-47.1,60.6,25.15
-6.84,-8.79,1032.71,-1.73,-2.63,4.88,17.25,-48.6,60.3,25.25
-1.95,0.98,1036.62,-0.09,1.11,1.86,16.8,-46.2,60.45,25.15
-0.98,-0.49,1045.41,0.88,2.77,-1.84,16.8,-46.65,59.7,25.2
-6.84,-14.65,1039.06,0.54,1.18,2.85,15.45,-46.5,61.95,25.35
0.0,-6.35,1047.85,-0.46,-0.36,0.96,16.5,-47.85,60.3,24.82
-1.46,0.98,1030.76,0.22,1.04,0.36,15.6,-47.4,60.75,25.01
4.88,-7.81,1045.9,0.14,2.27,0.81,16.35,-46.65,60.75,24.87
-5.37,2.44,1044.92,-0.5,0.26,-1.96,16.5,-45.75,60.0,25.01
-12.7,-10.25,1029.3,0.11,-0.58,-1.69,16.95,-47.55,58.95,24.82
-19.53,-6.35,1033.2,-1.14,-0.22,1.09,18.0,-47.85,58.5,24.82
-5.86,-2.44,1044.43,-1.56,2.0,-0.34,16.2,-47.85,60.6,25.2
8.3,-11.72,1035.64,0.38,2.75,1.57,17.55,-47.55,61.65,25.2
3.42,-1.95,1054.69,1.11,-1.66,-3.18,15.3,-47.7,61.2,25.25
-1.46,-16.11,1039.06,0.31,-0.99,-0.82,15.9,-47.55,60.3,25.25
-3.91,-3.91,1041.5,-0.03,1.83,0.85,16.2,-47.85,61.05,25.2
-0.49,-4.39,1034.67,1.6,0.65,-0.54,16.8,-46.95,59.4,25.2
6.84,-15.14,1035.64,0.09,0.21,2.62,16.8,-46.2,60.75,25.25
0.98,2.93,1030.76,-1.13,1.85,1.25,17.85,-48.0,59.4,24.91
-6.35,-2.44,1029.3,0.62,-2.23,7.3,16.8,-46.95,61.2,25.2
-0.49,-8.79,1039.55,-0.91,0.7,6.47,17.55,-47.55,60.6,25.15
-14.65,-16.11,1041.99,0.13,1.53,8.35,16.2,-47.1,60.6,25.15
-58.11,-51.76,1034.67,-0.37,0.19,30.68,16.5,-47.55,61.05,25.01
-8.3,-19.53,1041.5,1.82,-0.39,41.55,17.55,-45.0,60.0,24.91
-66.41,-71.78,1057.62,-0.11,3.53,59.9,17.4,-45.9,59.1,25.35
-45.41,-44.92,1045.41,0.99,-0.69,92.29,20.85,-45.3,58.95,25.15
-21.97,-378.42,1012.21,5.49,-1.29,111.07,20.85,-45.3,58.5,24.87
54.69,44.92,1023.93,3.93,-1.59,113.92,22.95,-45.0,56.4,24.82
-85.94,360.35,1083.98,2.63,-9.58,74.27,24.3,-41.4,57.15,25.15
